Date,Open,High,Low,Close,Adj Close,Volume
2011-10-21,686.5,686.5,676.799988,680.674988,490.651917,374600
2011-10-24,686.75,693.450012,685.513,691.924988,498.761322,325216
2011-10-25,700,722.5,700,713.375,514.223083,885084
2011-10-28,715.5,742.825012,707.75,714.911987,515.330994,1056308
2011-10-31,711.5,724.474976,711.5,718.799988,518.133606,491264
2011-11-01,710.025024,718.687988,704.25,709.299988,511.285828,364984
2011-11-02,705.75,713.388,703.75,707.161987,509.744598,506224
2011-11-03,708.424988,710.5,691.888,700.536987,504.969177,408748
2011-11-04,711.5,712.5,698.5,707.275024,509.82608,948584
2011-11-08,702.5,711.75,697.775024,709.786987,511.636749,574836
2011-11-09,710.25,715.474976,705.375,708.025024,510.366638,403228
2011-11-11,687.5,701.612,680,693.900024,500.184967,643780
2011-11-14,701.25,707.5,699.263,702.112,506.104401,272832
2011-11-15,701.174988,704.724976,695.025024,698.125,503.230438,425476
2011-11-16,699,700.924988,689.612,694.025024,500.274994,305124
2011-11-17,692.25,696.812012,682.911987,687.700012,495.715729,342056
2011-11-18,683.75,690.75,680.125,684.875,493.679352,234976
2011-11-21,680.75,683.25,650.025024,665.299988,479.569031,422108
2011-11-22,657.25,690.138,653,680.786987,490.732605,1041696
2011-11-23,672,672.224976,653.950012,662.638,477.650299,444628
2011-11-24,662,670.724976,647.013,666.650024,480.542328,661096
2011-11-25,663.5,663.5,647.513,650.150024,468.648499,774664
2011-11-28,655,663.75,653.25,660.812012,476.334106,965488
2011-11-29,658,658.400024,646.263,651.525024,469.639679,745144
2011-11-30,626.338013,655.5,626.338013,651.888,469.901367,433948
2011-12-01,666.25,672.75,658.763,663.200012,478.055328,348528
2011-12-02,662.5,678.75,658.75,674.200012,485.984589,322516
2011-12-05,673.737,678.25,668.75,675.013,486.570618,226708
2011-12-07,675.013,692.25,671.25,688.200012,496.076233,575072
2011-12-08,686.75,689.5,674.25,680.937988,490.841522,335772
2011-12-09,666.875,683.549988,664.812012,676.536987,487.669098,379784
2011-12-12,679.75,687.200012,675,682.812012,492.192352,693660
2011-12-13,681.025024,691.049988,677.5,688.661987,496.409119,1060372
2011-12-14,688.25,691.25,681.625,685.224976,493.93161,429452
2011-12-15,682.25,682.974976,666.25,678.812012,489.308929,555848
2011-12-16,674.75,693.75,672.838013,679.299988,489.660767,588916
2011-12-19,673.75,675.875,663.900024,668.536987,481.902466,419164
2011-12-20,671.5,674.650024,662.987,666.838013,480.677795,396620
2011-12-21,678.724976,688.362,670.25,686.062012,494.535034,744596
2011-12-22,669.950012,686.062012,661.950012,678.700012,489.228302,478940
2011-12-23,683.786987,684.088013,670.786987,673.713013,485.633514,330232
2011-12-26,672.25,695.5,672.25,693.338013,499.779724,437888
2011-12-27,691.987,699.75,685,690.411987,497.670685,373804
2011-12-28,690.036987,700,688.5,695.213013,501.131348,871624
2011-12-29,688.75,693.724976,682.5,685.911987,494.42691,283152
2011-12-30,686.450012,693.5,685.25,691.263,498.284058,206796
2012-01-02,690.974976,703.424988,685.5,701.213013,505.456329,511304
2012-01-03,706.25,721.674988,704.888,716.150024,516.223389,769104
2012-01-04,713.5,718,710.5,713.562012,514.357971,592956
2012-01-05,710,719,707.75,709.724976,511.592102,490356
2012-01-06,709.724976,717.088013,702.5,707.661987,510.10498,795720
