time,date,,News Headlines
2.13 pm , 08-07-2009,Moneycontrol.com,Infosys Jun qtr PAT seen up by 12.5% at Rs 1464 cr  
4.42 pm , 03-07-2009,Moneycontrol.com,Infosys Jun qtr PAT seen at Rs 1383 cr: KRChoksey   
4.37 pm , 25-06-2009,Moneycontrol.com,"Buy Infosys, target of Rs 1950: PINC Research  "
2.46 pm , 25-06-2009,CNBC-TV18,"Nilekani quits Infosys, to head govt's national ID project  "
8.47 am , 24-06-2009,Business Line,New slum development scheme to cover 74 cities  
11.57 am , 20-06-2009,Moneycontrol.com,"Hold Infosys, target of Rs 1640: Emkay Global  "
10.58 am , 18-06-2009,CNBC-TV18,Infosys files F3 with SEC  co says not looking at ADR sale 
8.30 am , 16-06-2009,Business Line,"Infosys eyes buys in Mexico, Brazil to improve operations  "
10.50 am , 12-06-2009,CNBC-TV18,"BFSI, high tech telecom to recover first: Infosys  "
10.31 am , 10-06-2009,CNBC-TV18,Upside left in Infosys: M Thacker  
8.38 am , 20-08-2009,Business Line,Internet is the next big marketing platform  
10.37 am , 06-08-2009,CNBC-TV18,Infosys pursuing deals worth $1 bn  
12.29 pm , 04-08-2009,CNBC-TV18,Infosys BPO inks 5-year deal with T-Mobile UK  
11.04 am , 04-08-2009,CNBC-TV18,Short Infosys at current level: S Bhamre  
8.47 am , 29-07-2009,Business Line,Slowdown will impact new graduates: Infosys CEO  
12.24 pm , 23-07-2009,Moneycontrol.com,"Buy Infosys, target of Rs 2350: Hem  "
4.47 pm , 15-07-2009,Moneycontrol.com,Motilal Oswal neutral on Infosys Technologies  
4.48 pm , 14-07-2009,Moneycontrol.com,Sushil Finance neutral on Infosys Technologies  
1.22 pm , 14-07-2009,Moneycontrol.com,"Reduce Infosys, target of Rs 1700: IIFL  "
12.48 pm , 14-07-2009,CNBC-TV18,Infosys has target of Rs 2100: B Shah  
4.36 pm , 13-07-2009,Moneycontrol.com,"Buy Infosys, target of Rs 1824: KRChoksey  "
4.35 pm , 13-07-2009,Moneycontrol.com,"Hold Infosys, target of Rs 1880: Sharekhan  "
4.26 pm , 13-07-2009,Moneycontrol.com,"Hold Infosys, target of Rs 1985: Reliance Money  "
4.20 pm , 13-07-2009,Moneycontrol.com,Accumulate Infosys Technologies: Parag Parikh  
5.50 pm , 10-07-2009,Moneycontrol.com,"Infosys Q1 revenues down 3% to Rs 5,472 crore   "
4.14 pm , 10-07-2009,CNBC-TV18,IT sector to stay strong: Anu Jain  
2.44 pm , 10-07-2009,Moneycontrol.com,FY10 revenues seen at Rs 21416 cr: Infosys  
2.26 pm , 10-07-2009,CNBC-TV18,"Fellow Infoscions rue Nilekani's exit, see void  "
2.21 pm , 10-07-2009,CNBC-TV18,Buy Infosys on declines: D Mehta  
2.00 pm , 10-07-2009,CNBC-TV18,Infosys a best bet among the largecaps: VK Sharma  
8.38 am , 08-10-2009,Business Line,Top 3 IT cos may grow slower than industry  
3.19 pm , 07-10-2009,Moneycontrol.com,Infosys Q2 PAT seen down 7.5% to Rs 1412 cr: A Rathi  
9.59 am , 07-10-2009,Moneycontrol.com,Infosys will remain under pressure: M Thacker  
2.00 pm , 06-10-2009,CNBC-TV18,Not looking to sell R&D  units clarifies Alcatel-Lucent  
12.45 pm , 05-10-2009,Moneycontrol.com,"Infosys Q2 PAT seen down by 3% to Rs 1,479 cr: Angel  "
11.36 am , 05-10-2009,Moneycontrol.com,Infosys Q2 PAT seen up 9% at Rs 1663 cr: KRChoksey  
2.33 pm , 25-09-2009,CNBC-TV18,Salary hikes won't impact IT cos' margins: Edelweiss  
4.07 pm , 23-09-2009,Moneycontrol.com,Datawatch: 50 cash rich companies  
10.21 am , 18-09-2009,CNBC-TV18,"WB bows to Nasscom call; allots land to Wipro, Infosys  "
8.45 pm , 14-09-2009,CNBC-TV18,IT recovering on improving global financials: Infosys  
12.38 pm , 14-09-2009,CNBC-TV18,Infosys considers Rs 500-600 crore expansion plan  
12.48 pm , 09-09-2009,CNBC-TV18,"Hold Infosys, HDFC: Kwok Chern-Yeh  "
8.33 am , 31-08-2009,Business Line,Infosys sees big market in sub-segments of verticals  
4.56 pm , 27-08-2009,CNBC-TV18,"Above Rs 2240, Infosys can go upto Rs 2340-2380: Bose  "
9.46 am , 27-08-2009,CNBC-TV18,Brokerages being irrationally exuberant on IT: Infosys  
9.25 pm , 26-08-2009,CNBC-TV18,"BP awards deals to IBM, TCS, Accenture, Infosys, Wipro  "
6.45 pm , 26-08-2009,press release,BP awards large deal to Infosys Technologies  
5.36 pm , 26-08-2009,CNBC-TV18,"Hold Infosys, TCS: Betadpur  "
4.11 pm , 26-08-2009,Moneycontrol.com,BP awards large deal to Infosys Technologies  
11.15 am , 24-08-2009,CNBC-TV18,"Buy Infosys Technologies, says Sukhani  "
5.14 pm , 12-10-2009,Moneycontrol.com,"Buy Infosys, target of Rs 2555: Reliance Money  "
5.00 pm , 12-10-2009,Moneycontrol.com,"Infosys an outperformer, target of Rs 2517: Karvy  "
2.49 pm , 12-10-2009,Moneycontrol.com,"Hold Infosys, target of Rs 2505: Sharekhan  "
2.39 pm , 12-10-2009,Moneycontrol.com,"Accumulate Infosys, target of Rs 2475: Angel  "
12.33 pm , 12-10-2009,Moneycontrol.com,"Hold Infosys, target of Rs 2325: KRChoksey  "
10.56 am , 12-10-2009,CNBC-TV18,Infosys Technologies looks weak: PN Vijay  
10.12 am , 10-10-2009,CNBC-TV18,Infosys has resistance at Rs 2300-2368: Gujral  
10.08 am , 10-10-2009,CNBC-TV18,Exit Infosys Technologies: Baliga  
7.28 pm , 09-10-2009,Moneycontrol.com,Infosys Q2 net income down 0.9% at $ 317 mn   
5.52 pm , 09-10-2009,CNBC-TV18,Infy FY10 EPS seen at Rs 105-107: Bhavin Shah  
4.27 pm , 09-10-2009,Moneycontrol.com,Infosys Technologies may slip to Rs 2000: Gaba  
2.57 pm , 09-10-2009,Moneycontrol.com,Infosys adds 35 new clients in Q2  
2.11 pm , 09-10-2009,CNBC-TV18,Hold Infosys Technologies: Nitin Padmanabhan  
12.32 pm , 09-10-2009,CNBC-TV18,Exclusive interview: Infosys on its Q2 results  
10.09 am , 09-10-2009,CNBC-TV18,Infosys has support at Rs 2000-2100: Nilesh Shah  
9.29 am , 09-10-2009,CNBC-TV18,Infosys raises FY10 dollar EPS guidance by 5-6%  
8.58 am , 09-10-2009,Moneycontrol.com,Infosys beats expectations  Q2 net up 0.85% to Rs 1540 cr 
5.31 pm , 08-10-2009,CNBC-TV18,Infosys Q2 revenues seen up 2.4% to Rs 5604.3 cr  
2.00 pm , 08-10-2009,Moneycontrol.com,Infy Q2 PAT seen down by 2.6% to Rs 1486 cr: P Lilladher  
11.02 am , 08-10-2009,Moneycontrol.com,Infosys Q2 net profit seen down 1.1% at Rs 1509.4cr  
4.28 pm , 25-11-2009,Reuters,Infosys to focus on small buys  
1.31 pm , 25-11-2009,Moneycontrol.com,"Infy to hire 20000 in FY11, says job scene improving  "
10.52 am , 24-11-2009,Reuters,CEO of Infosys backoffice service unit quits  
1.43 pm , 18-11-2009,CNBC-TV18,Rolta can add another 15-20%: Mohindar  
6.15 pm , 17-11-2009,CNBC-TV18,Infosys Technologies may cross Rs 2500: Mohindar  
11.46 am , 17-11-2009,CNBC-TV18,IT budgets likely to be flat to slightly lower: Infosys  
9.45 am , 13-11-2009,CNBC-TV18,Buy Infosys with stoploss Rs 2270: Gujral  
7.33 pm , 12-11-2009,CNBC-TV18,Infosys Technologies can touch Rs 2450: Vora  
11.40 am , 12-11-2009,CNBC-TV18,Infosys arm buys insurance BPO McCamish Systems for $38m  
12.45 pm , 10-11-2009,Moneycontrol.com,Global biggies look to India for fresh talent  
8.59 am , 10-11-2009,Reuters,Infosys opens second IT services facility in Mexico  
2.04 pm , 09-11-2009,Reuters,"Infosys eyes acquisitions in Europe, US  "
6.14 pm , 05-11-2009,Reuters,Murthy's wife sells Infy shares to help set up VC firm  
5.16 pm , 23-10-2009,Moneycontrol.com,Infosys has a target around Rs 2350: Gaba  
2.32 pm , 23-10-2009,Moneycontrol.com,"Hold Infosys, HDFC: Aadil Ebrahim  "
3.57 pm , 20-10-2009,CNBC-TV18,TCS a good bet: Rajat Rajgarhia  
1.12 pm , 20-10-2009,Moneycontrol.com,Sushil Financial neutral on Infosys Technologies  
8.53 am , 16-10-2009,Business Line,Tech M stays away from BSNL deal  
4.40 pm , 15-10-2009,Moneycontrol.com,"Hold Infosys, target of Rs 2336: Indiabulls Securities  "
5.16 pm , 12-10-2009,Moneycontrol.com,"Accumulate Infosys, target of Rs 2400: Prabhudas Lilladher  "
9.30 am , 12-01-2010,CNBC-TV18,"Infosys Q3 net profit at Rs 1582 Cr, beats street estimates  "
4.02 pm , 11-01-2010,CNBC-TV18,"Buy Infosys Technologies, says Irani  "
3.13 pm , 11-01-2010,Moneycontrol.com,Preview: Infosys seen beating Q3 guidance  margins may dip 
3.00 pm , 11-01-2010,CNBC-TV18,"Don't buy Infosys, says Shrikant Chouhan  "
2.01 pm , 11-01-2010,CNBC-TV18,"Hold Infosys Technologies, says Bhambwani  "
10.29 am , 11-01-2010,Moneycontrol.com,Infosys Q3 PAT seen down 4% at Rs 1474 cr: M Oswal  
10.02 am , 11-01-2010,Moneycontrol.com,Infosys Dec qtr PAT seen down 5% at Rs 1641 cr: Karvy  
9.44 am , 11-01-2010,CNBC-TV18,Infosys Q3 net profit seen down 3.2% at Rs 1490 cr  
2.42 pm , 09-01-2010,Moneycontrol.com,Infosys Dec qtr PAT seen down at 1504 cr: P Lilladher  
10.59 am , 09-01-2010,CNBC-TV18,Exit Infosys Technologies: Thacker  
10.25 am , 09-01-2010,CNBC-TV18,Enter Infosys on some correction: Sekhar  
4.21 pm , 08-01-2010,Moneycontrol.com,"Tech, auto sector lose flavour: Mitesh Thackar  "
1.22 pm , 08-01-2010,CNBC-TV18,See earnings upgrade in Infosys for FY11: IIFL  
3.13 pm , 07-01-2010,Moneycontrol.com,Infosys' Dec qtr PAT seen down at Rs 1488cr: Sharekhan  
9.10 am , 06-01-2010,Reuters,"Infosys, Aircel in pact for mobile applications  "
3.07 pm , 05-01-2010,Moneycontrol.com,Infosys' Dec qtr PAT seen down at Rs 1446 cr: Angel  
5.27 pm , 04-01-2010,CNBC-TV18,SAIL can go upto Rs 265: Gujral  
3.13 pm , 24-02-2010,Moneycontrol.com,Gartner's Budget 2010 wishlist    
6.21 pm , 22-02-2010,Moneycontrol.com,Rahul Mohindar upbeat on IT sector  
12.24 pm , 22-02-2010,Moneycontrol.com,UIDAI calls for quotations for first IT contract: Sources  
5.12 pm , 10-02-2010,CNBC-TV18,"Large deals are back in vogue, says Infosys CEO  "
10.11 am , 02-02-2010,CNBC-TV18,Buy Infosys at Rs 2450-2470: Bhamre  
11.15 am , 31-01-2010,Reuters,Infosys picked for Karnataka IT project  
11.57 am , 28-01-2010,Reuters,Infosys rides early recovery wave as clients up outsourcing  
5.09 pm , 25-01-2010,CNBC-TV18,Earnings wrap-up: Cos' Q3 results from the day  
2.33 pm , 25-01-2010,Reuters,HCL Tech lags profit forecast  sees jump in deal pipeline 
8.51 am , 22-01-2010,CNBC-TV18,"Pick Infosys Technologies, says Sukhani  "
12.19 pm , 18-01-2010,CNBC-TV18,Infosys has target of Rs 3150: Pankaj Kapoor  
12.08 pm , 16-01-2010,CNBC-TV18,Book profits in Infosys Technologies: Phani Sekhar  
12.04 pm , 16-01-2010,CNBC-TV18,Infosys Technologies has target of Rs 2810: Gujral  
2.24 pm , 14-01-2010,CNBC-TV18,Stay invested in Infosys Technologies: VK Sharma  
5.41 pm , 13-01-2010,Moneycontrol.com,"More upside likely in Infosys, TCS, Wipro: Parag Doctor  "
6.21 pm , 12-01-2010,Reuters,BoA-Merrill Lynch raises Infosys rating to buy  
5.00 pm , 12-01-2010,Moneycontrol.com,Infosys expects FY10 revenue at USD 4.75 bn  
2.31 pm , 12-01-2010,CNBC-TV18,Expect 10-15% return in Infosys Technologies: Mukadam  
12.55 pm , 12-01-2010,CNBC-TV18,Infosys Q4 outlook: Hiring aggressive but guidance muted  
9.57 am , 12-01-2010,Moneycontrol.com,Infy Q3: Experts see '11 EPS at Rs 130  
12.18 pm , 31-03-2010,CNBC-TV18,Exit Infosys Technologies on upside: Thacker  
12.13 pm , 31-03-2010,CNBC-TV18,Avoid Infosys Technologies: Phani Sekhar  
5.10 pm , 30-03-2010,CNBC-TV18,Infosys has target of Rs 2850-2900: Mohindar  
1.04 pm , 30-03-2010,CNBC-TV18,IT industry does not need tax exemption: Narayana Murthy  
9.14 am , 22-03-2010,CNBC-TV18,Short Infosys Technologies: Sukhani  
6.13 pm , 18-03-2010,CNBC-TV18,"TCS, Infosys, Wipro can gain another 10%: Gujral  "
6.09 pm , 18-03-2010,CNBC-TV18,Raaja Kanwar: Taking the unusual path to expand Apollo  
12.58 pm , 18-03-2010,Moneycontrol.com,Accumulate Infosys Tech  target of Rs 3100: Emkay 
1.41 pm , 17-03-2010,CNBC-TV18,Largecap tech looks much better than oil stocks: Gujral  
9.56 am , 17-03-2010,Moneycontrol.com,Buy Infosys 2750 call at around Rs 22: VK Sharma  
4.58 pm , 15-03-2010,Moneycontrol.com,India Inc Q4 advance tax nos a mixed bag  
3.17 pm , 10-03-2010,Reuters,Infosys says outsourcing deal pipeline improving  
2.12 pm , 10-03-2010,Moneycontrol.com,Govt spending on IT expected to grow by 40%: Infosys  
9.10 am , 10-03-2010,CNBC-TV18,Infosys Technologies can test Rs 3000: Gujral  
1.15 pm , 06-03-2010,Moneycontrol.com,"Buy Infosys, target of Rs 3,250: Prabhudas Lilladher  "
9.49 am , 04-03-2010,Reuters,Infosys plans wage hikes in April   
12.30 pm , 03-03-2010,CNBC-TV18,How will Budget impact future taxability of IT industry?  
8.05 am , 03-03-2010,CNBC-TV18,Nasscom seeks two-year extension on STPI scheme  
10.45 pm , 02-03-2010,CNBC-TV18,Infy�s Chandigarh SEZ unit under Rev Dept scanner: Sources  
10.49 am , 26-02-2010,CNBC-TV18,"IT doesn't need STPI extension, says Narayana Murthy  "
8.28 am , 13-04-2010,CNBC-TV18,Infosys Q4 net profit jumps 1.14% at Rs 1600cr  
8.19 am , 13-04-2010,CNBC-TV18,Expect 15% YoY growth rate for Infosys: Anand Rathi   
5.58 pm , 12-04-2010,Reuters,BSE Sensex sheds 0.5%  banks lead decline 
4.43 pm , 12-04-2010,CNBC-TV18,Infosys Technologies fully priced: Maheshwari  
3.28 pm , 12-04-2010,CNBC-TV18,Infosys likely to guide 15-16% revenue growth: IIFL  
9.47 am , 12-04-2010,CNBC-TV18,Infosys Q4 net profit seen flat at Rs 1581.2 cr  
