time,date,,News Headlines
12.42 pm , 11-10-2013,CNBC-TV18,Infosys may touch Rs 3500: IDFC Securities  
12.33 pm , 11-10-2013,CNBC-TV18,See Infosys-TCS valuation gap narrowing: IDFC  
11.56 am , 11-10-2013,CNBC-TV18,"Infosys may go to Rs 3450, says Siddharth Bhamre  "
11.36 am , 11-10-2013,Firstpost.com,Infosys Q2: What does it show? Murthy is getting ready for war  
11.15 am , 11-10-2013,CNBC-TV18,"Growth to be focus, not margins: Infosys CEO Shibulal  "
10.59 am , 11-10-2013,CNBC-TV18,"Infosys Q2: Worst behind co; Q3 outperfomance likely, says Dipan Mehta  "
10.53 am , 11-10-2013,CNBC-TV18,Infosys beats street estimates: Does that mean TCS won't?  
10.40 am , 11-10-2013,Moneycontrol.com,"How brokers are reading Infosys Q2 earnings, FY14 guidance  "
10.38 am , 11-10-2013,CNBC-TV18,"Neutral on Infy; TCS, Cognizant to beat peers: Cowen & Co  "
10.26 am , 11-10-2013,CNBC-TV18,Infosys Q2: See FY14 growth at 12-13%  FY15 EPS at Rs 225: Kotak 
9.02 am , 11-10-2013,Moneycontrol.com,Infosys announces consolidated Q2 results  PAT at Rs 2407cr 
8.58 am , 11-10-2013,Moneycontrol.com,"Infosys Q2 net up 1.5%, ups FY14 guidance to 9-10%  "
8.58 am , 11-10-2013,Moneycontrol.com,Infosys declares interim dividend of Rs 20 per share  
6.09 pm , 10-10-2013,Moneycontrol.com,Infosys FY14 revenue guidance may be raised: Poll  
6.06 pm , 10-10-2013,Moneycontrol.com,Infosys Q2 PAT may rise 13% at Rs 2679.5cr: ICICIdirect  
5.47 pm , 10-10-2013,CNBC-TV18,"See 5-7% upside in Infosys, says Ashu Madan  "
1.20 pm , 10-10-2013,CNBC-TV18,Infosys stock to rise 5-7% post Q2 earnings: IIFL  
11.49 am , 10-10-2013,CNBC-TV18,Short straddle than long for Infosys: Trivedi  
5.00 pm , 17-10-2013,CNBC-TV18,HCL Tech results disappointing  overweight on Infosys: IIFL 
1.34 pm , 17-10-2013,CNBC-TV18,Aniruddha Mehta positive on Infosys  
12.18 pm , 17-10-2013,CNBC-TV18,HCL Tech remains top IT pick  cautious on MindTree: Ambit 
11.21 am , 17-10-2013,CNBC-TV18,"Infosys may touch Rs 3600, says Ambareesh Baliga  "
9.58 am , 17-10-2013,CNBC-TV18,"To be disciplined in bidding, aiming 26-28% margin: TCS  "
9.56 am , 17-10-2013,CNBC-TV18,See 15% upside in HCL Tech from current levels: Quant   
2.33 pm , 15-10-2013,CNBC-TV18,Buy Infosys  may go to Rs 3400: IIFL 
1.01 pm , 15-10-2013,Moneycontrol.com,Hold Infosys  target Rs 3550: ICICIdirect.com 
3.40 pm , 14-10-2013,Moneycontrol.com,Buy Infosys  target Rs 3650: Firstcall Research 
3.36 pm , 14-10-2013,Reuters,"Infosys second biggest weighting in Sensex, overtakes RIL  "
12.51 pm , 14-10-2013,Moneycontrol.com,Buy Infosys  target Rs 3800: Emkay 
3.24 pm , 12-10-2013,Moneycontrol.com,Accumulate Infosys  target of Rs 3460: Angel Broking 
5.55 pm , 11-10-2013,Moneycontrol.com,Hold Infosys  target Rs 3515: Sushil Finance 
5.35 pm , 11-10-2013,CNBC-TV18,Positive on Infosys  may test Rs 4000: Mehraboon Irani 
5.12 pm , 11-10-2013,CNBC-TV18,"Hold Infosys, says Sharmila Joshi  "
4.51 pm , 11-10-2013,CNBC-TV18,Infosys likely to achieve 12% growth in FY14: Kotak Instl  
3.31 pm , 11-10-2013,Moneycontrol.com,"Infosys adds 37 clients in Q2, 5 from fortune 500 list  "
2.37 pm , 11-10-2013,CNBC-TV18,"Bullish on Infosys, may test Rs 3500: Salil Sharma  "
1.57 pm , 11-10-2013,CNBC-TV18,Infy revenues to grow at 11-11.5%  TCS top bet: Angel 
1.47 pm , 11-10-2013,Moneycontrol.com,Infosys Results: Attrition rate jumps to 17.3% in Sept quarter  
4.47 pm , 07-11-2013,CNBC-TV18,"Pick Infosys, advises Sudarshan Sukhani  "
2.38 pm , 07-11-2013,CNBC-TV18,IT industry may grow in range of 12-14% in FY14: NASSCOM  
12.02 pm , 07-11-2013,CNBC-TV18,"Bet on TCS, Infosys, Wipro, HCL Tech: Sudarshan Sukhani  "
12.30 pm , 06-11-2013,CNBC-TV18,IT cos with common clients W/Cognizant should worry: Ambit  
9.36 pm , 05-11-2013,CNBC-TV18,Talks of selling out to Accenture 100% false: HCL Tech  
6.49 pm , 05-11-2013,CNBC-TV18,Cognizant beats estimates  ups full year revenue guidance  
2.02 pm , 31-10-2013,PTI,Infosys whistleblower could get $5-8 mn from settlement  
8.20 pm , 30-10-2013,Reuters,Infosys reaches $34 mn settlement in US visa case  
9.08 pm , 29-10-2013,Reuters,Infosys says in process of resolving US visa investigation  
1.22 pm , 29-10-2013,PTI,Infosys may be fined $35 mn for visa related violations  
11.30 am , 29-10-2013,Moneycontrol.com,Buy Infosys  target of Rs 3900: Prabhudas Lilladher 
11.55 am , 27-10-2013,PTI,Indian IT's Big Four build USD 9bn cash chest  
4.47 pm , 25-10-2013,Moneycontrol.com,Buy Infosys  target of Rs 4000: Way2Wealth 
8.05 pm , 22-10-2013,CNBC-TV18,Wipro Q2 beats estimate: Analysts to upgrade their outlook?  
10.46 am , 22-10-2013,CNBC-TV18,"Pick Wipro, Infosys, says Mehraboon Irani  "
5.25 pm , 21-10-2013,CNBC-TV18,Infosys may test Rs 3600: Ambareesh Baliga  
11.20 am , 21-10-2013,CNBC-TV18,"Prefer Bajaj Auto, Infosys: Motilal Oswal Sec  "
4.13 pm , 20-10-2013,PTI,"TCS making serious investments in big data, cloud, mobility  "
3.54 pm , 20-10-2013,PTI,LIC cuts stake in Infosys to 4.95%  
8.57 pm , 18-10-2013,CNBC-TV18,Birla highly respected  be 100% sure prior accusing: Murthy 
4.16 pm , 05-12-2013,CNBC-TV18,"Prefer IT, pharma stocks: Dilip Bhat  "
10.51 am , 05-12-2013,CNBC-TV18,"Infosys a good bet, says Sandeep Shenoy  "
9.33 am , 05-12-2013,CNBC-TV18,"Buy Infosys, advises Sudarshan Sukhani  "
1.41 pm , 04-12-2013,CNBC-TV18,"Go long in Infosys, says Sudarshan Sukhani  "
12.35 pm , 04-12-2013,CNBC-TV18,Infosys may go upto Rs 5000: Regan Homavazir  
11.19 am , 04-12-2013,CNBC-TV18,Infosys top pick in IT sector: Gautam Chhaochharia  
12.28 pm , 29-11-2013,CNBC-TV18,Buy Infosys on declines: Shardul Kulkarni  
5.26 pm , 26-11-2013,CNBC-TV18,Anand Radhakrishnan cautious on IT space  
11.36 am , 26-11-2013,CNBC-TV18,Vikas Khemani positive on IT space  
1.37 pm , 25-11-2013,CNBC-TV18,"Short Infosys, advises Aditya Agarwal  "
2.52 pm , 22-11-2013,CNBC-TV18,"Accumulate Infosys, Tech Mahindra: Nischal Maheshwari  "
12.07 pm , 22-11-2013,CNBC-TV18,"Buy Infosys, says Sudarshan Sukhani  "
10.48 am , 19-11-2013,CNBC-TV18,Mehraboon Irani positive on Infosys  
10.05 pm , 18-11-2013,CNBC-TV18,Stephen Pratt Quits Infosys  6th senior exit in 5mths 
10.47 am , 18-11-2013,CNBC-TV18,"Bet on Infosys, may test Rs 3900: Ajay Bodke  "
4.02 pm , 13-11-2013,Moneycontrol.com,Deepak M Satwalekar to retire from Infosys board   
1.00 pm , 12-11-2013,CNBC-TV18,"Dhananjay Sinha overweight on IT, pharmaceuticals space  "
3.05 pm , 10-11-2013,PTI,Infosys investing over Rs 100 crore to upgrade MCA21 portal  
4.18 pm , 08-11-2013,Moneycontrol.com,Infosys BPO expands global presence with new center in the Netherlands  
10.58 am , 08-11-2013,CNBC-TV18,"Buy Infosys, advises Shardul Kulkarni  "
3.08 pm , 19-12-2013,CNBC-TV18,United Spirits may touch Rs 2680-2700: Abhijit Paul  
2.00 pm , 19-12-2013,CNBC-TV18,"Buy Infosys 3500 Call, HCL Tech 1220 Call: Subramanyam  "
5.17 pm , 18-12-2013,CNBC-TV18,Expect 20% upside in HCL Tech: Ashwin Mehta  
5.14 pm , 18-12-2013,CNBC-TV18,"HCL Tech top pick, prefer TCS over Infosys: Ashwin Mehta  "
1.53 pm , 17-12-2013,CNBC-TV18,Manishi Raychaudhuri bullish on IT space  
5.11 pm , 16-12-2013,CNBC-TV18,Infosys may touch Rs 3600: Sharmila Joshi  
2.38 pm , 16-12-2013,CNBC-TV18,Wipro may test Rs 545: Pritesh Mehta  
8.51 am , 16-12-2013,CNBC-TV18,Super Six stocks you can bet on December 16  
11.13 am , 15-12-2013,PTI,"Five blue-chip firms lose Rs 22,582cr in value, led by ONGC  "
1.12 pm , 14-12-2013,CNBC-TV18,"Manishi Raychaudhuri overweight on Infosys, TCS, HCL Tech  "
8.30 pm , 13-12-2013,PTI,"S&P; ups TCS, Infosys, Wipro credit rating to A from BBB+  "
2.26 pm , 13-12-2013,CNBC-TV18,Buy Infosys 3450 call  sell 3500 call: Bhavin Desai 
1.53 pm , 13-12-2013,CNBC-TV18,"Prefer TCS, Infosys, Tata Motors: Choksey  "
5.55 pm , 12-12-2013,CNBC-TV18,"Rakesh Arora neutral on IT, pharma space  "
11.46 am , 12-12-2013,CNBC-TV18,"Prefer Infosys, TCS, Tech Mahindra: Andrew Holland  "
3.10 pm , 11-12-2013,CNBC-TV18,"Infosys, TCS top picks: Gautam Chhaochharia  "
11.22 am , 11-12-2013,CNBC-TV18,"Buy Infosys 3400 Call, Sell 3450, 3500 Calls: Amit Trivedi  "
7.25 pm , 09-12-2013,PTI,Infosys unveils TradeEdge platform   
4.01 pm , 06-12-2013,CNBC-TV18,Pharma looks attractive  prefer IT on dips: Raamdeo Agrawal 
11.28 am , 06-12-2013,CNBC-TV18,"Hold Infosys, advises Pritesh Mehta  "
2.33 pm , 30-12-2013,CNBC-TV18,Stay away from Infosys: Sudarshan Sukhani  
1.19 pm , 30-12-2013,Moneycontrol.com,"Infosys' Q3 results on January 10, 2014  "
1.19 pm , 28-12-2013,CNBC-TV18,"KR Bharat bullish on IT, healthcare, auto ancillary space  "
8.41 am , 27-12-2013,CNBC-TV18,Super Six: Top chart picks for Friday  
3.07 pm , 23-12-2013,CNBC-TV18,"Hold Infosys, may touch Rs 3740: Rajat Bose  "
1.46 pm , 23-12-2013,Moneycontrol.com,Are top-level exits part of Infy's reorganisation strategy?  
12.12 pm , 23-12-2013,CNBC-TV18,Deal pipeline better  will do well in 2014: Tech Mahindra  
11.54 am , 23-12-2013,CNBC-TV18,Buy Infosys at around Rs 3470-3480: Hemant Thukral  
11.06 am , 23-12-2013,CNBC-TV18,Buy Infosys on every dip: Nischal Maheshwari  
1.44 pm , 21-12-2013,CNBC-TV18,"Prefer TCS, Infosys, Tech Mahindra: Manish Sonthalia  "
12.10 pm , 21-12-2013,Moneycontrol.com,Infosys' V Balakrishnan resigns  
9.18 pm , 20-12-2013,Moneycontrol.com,Will Bala's exit hamper Murthy's revival plan for Infosys?  
7.33 pm , 20-12-2013,CNBC-TV18,Murthy's return is the best thing for Infy: V Balakrishnan  
5.55 pm , 20-12-2013,CNBC-TV18,"Sell Wipro, advises Ankur Rudra  "
4.39 pm , 20-12-2013,CNBC-TV18,"V Balakrishnan quits Infosys, to turn entrepreneur  "
12.14 pm , 20-12-2013,CNBC-TV18,"Buy Infosys 3800 call, sell two 3900 calls: Amit Trivedi  "
8.43 am , 20-12-2013,Moneycontrol.com,"Infosys' Subrahmanyam Goparaju, member of executive council resign  "
7.01 pm , 19-12-2013,CNBC-TV18,Infosys Exodus: Head of Labs Subrahmanyam Goparaju resigns  
5.17 pm , 19-12-2013,CNBC-TV18,"Prefer Infosys, HCL Technologies on dips: Sukhani  "
5.10 pm , 19-12-2013,CNBC-TV18,See further upmove in Infosys: Hemen Kapadia  
10.44 am , 08-01-2014,CNBC-TV18,Why Equirus Securities is betting on these 8 stocks  
5.26 pm , 07-01-2014,Moneycontrol.com,Volumes to drive Oct-Dec quarter growth in IT: Anand Rathi  
5.16 pm , 07-01-2014,CNBC-TV18,"Prefer Infosys, TCS: Dilip Bhat  "
2.51 pm , 07-01-2014,Moneycontrol.com,Infosys Q3 PAT seen up 11.6% at Rs 2686cr: Kotak Securities  
1.30 pm , 07-01-2014,PTI,Moderate earnings expected for IT cos in Q3: Analysts  
12.38 pm , 07-01-2014,CNBC-TV18,"Prefer midcap IT stocks over largecaps, says Dipan Mehta  "
4.00 pm , 06-01-2014,CNBC-TV18,"Hold Infosys, advises Ambareesh Baliga  "
3.55 pm , 06-01-2014,CNBC-TV18,Infosys may go upto Rs 3700: Pritesh Mehta  
2.14 pm , 06-01-2014,Moneycontrol.com,"Jyotivardhan Jaipuria overweight on auto, pharma space  "
12.09 pm , 06-01-2014,CNBC-TV18,Buy Infosys calls: Gopi Suvanam  
1.59 pm , 04-01-2014,CNBC-TV18,"Expect 15-20% upside in IT stocks, says Siddharth Bhamre  "
6.23 pm , 03-01-2014,PTI,"Infosys elevates Srinivas, Rao as presidents  "
4.32 pm , 03-01-2014,Moneycontrol.com,Infosys announces appointment of presidents  
4.06 pm , 03-01-2014,Moneycontrol.com,"Buy Infosys, Wipro, Tech Mahindra, MindTree: P Lilladher  "
3.28 pm , 02-01-2014,CNBC-TV18,"Prefer Wipro, Infosys, KPIT, MindTree:  Dilip Bhat  "
11.55 am , 02-01-2014,CNBC-TV18,"Prefer largecap IT stocks, says Tirthankar Patnaik  "
8.43 am , 02-01-2014,CNBC-TV18,6 trading stocks for short term gain  
11.08 am , 10-01-2014,CNBC-TV18,Infosys retains a sell despite Q3 performance: Ambit  
11.00 am , 10-01-2014,CNBC-TV18,Q3 margins improved due to focus on efficiency: Infosys  
10.59 am , 10-01-2014,CNBC-TV18,Larger aspirations led to top exits: Infosys CEO Shibulal  
10.23 am , 10-01-2014,CNBC-TV18,See Infosys 2015 earnings grow around 3.30-3.50%: Cowen  
10.15 am , 10-01-2014,CNBC-TV18,Infosys capacity utilisation to go up in few qtrs: Envision  
9.19 am , 10-01-2014,Moneycontrol.com,Infosys appoints U. B. Pravin Rao as additional director  
9.11 am , 10-01-2014,Moneycontrol.com,Infosys Q3 cons net profit at Rs 2875cr vs Rs 2369cr  
8.52 am , 10-01-2014,Moneycontrol.com,"Infosys Q3 net up 19%, ups FY14 $ rev forecast to 11.5-12%  "
5.34 pm , 09-01-2014,Moneycontrol.com,Infosys Q3 PAT may rise 2.3% at Rs 2686.3cr: Sushil Finance  
12.41 pm , 09-01-2014,CNBC-TV18,Infosys guiding below 11.5% will be negative: IDFC Sec  
12.16 pm , 09-01-2014,CNBC-TV18,"Infy Q3 PAT may rise 14%, FY14 guidance key: CNBC-TV18 Poll  "
11.51 am , 09-01-2014,Moneycontrol.com,Infosys Q3 net seen up 15% at Rs 2769cr: ICICIdirect  
11.26 am , 09-01-2014,Moneycontrol.com,Infosys Q3 net may rise 5.1% at Rs 2760.9cr: Motilal Oswal  
9.56 am , 09-01-2014,CNBC-TV18,"Avoid Infosys, says Sandip Sabharwal  "
5.28 pm , 08-01-2014,CNBC-TV18,"Avoid IT stocks, says Sudarshan Sukhani  "
5.05 pm , 08-01-2014,CNBC-TV18,"Infy to underperform peers in FY15; like HCL, TCS: Centrum  "
3.13 pm , 08-01-2014,CNBC-TV18,"Sell Infosys, says Ravi Menon  "
3.09 pm , 08-01-2014,CNBC-TV18,"Short Infy 3500 Straddle, buy 3300 Put, 3700 Call: Desai  "
2.49 pm , 08-01-2014,Reuters,Sensex constituents' Oct-Dec quarter earnings seen up 13%  
11.01 am , 08-01-2014,CNBC-TV18,"Avoid Infosys, says Sudarshan Sukhani  "
5.25 pm , 13-01-2014,CNBC-TV18,Infosys may touch Rs 4000: Kawaljeet Saluja  
4.02 pm , 13-01-2014,CNBC-TV18,Prefer Infosys over TCS  expect weak Q3 results: Kotak 
2.26 pm , 13-01-2014,Moneycontrol.com,Hold Infosys  target of Rs 3750: ICICIdirect.com 
1.57 pm , 13-01-2014,CNBC-TV18,"Prefer TCS, HCL Tech over Infosys: India Infoline  "
1.36 pm , 13-01-2014,CNBC-TV18,"Infosys top pick, says Sandeep Bhatia  "
12.31 pm , 13-01-2014,CNBC-TV18,"Buy Infosys, says Rajiv Mehta  "
10.49 am , 13-01-2014,CNBC-TV18,"Bullish on Infosys, target of Rs 4065: Jaideep Goswami  "
12.04 pm , 11-01-2014,CNBC-TV18,"Pick Infosys on correction, says Sanjay Dutt  "
10.23 pm , 10-01-2014,Moneycontrol.com,"Murthy on top exec exits: Good for them, good for company  "
6.58 pm , 10-01-2014,Moneycontrol.com,Accumulate Infosys  target of Rs 3730: Angel Broking 
4.11 pm , 10-01-2014,Moneycontrol.com,Buy Infosys  target of Rs 4444: Dolat Capital 
2.51 pm , 10-01-2014,CNBC-TV18,Infosys likely to see re-rating going forward: Quant  
2.07 pm , 10-01-2014,CNBC-TV18,Attrition down on absolute basis over last 3 mnths: Infosys  
1.49 pm , 10-01-2014,PTI,Infosys struggling to retain talent at mid & junior levels  
1.15 pm , 10-01-2014,CNBC-TV18,Infosys not facing any major pricing pressure: BG Srinivas  
12.29 pm , 10-01-2014,CNBC-TV18,Here are key highlights of Infosys Q3 earnings  
12.29 pm , 10-01-2014,CNBC-TV18,How have brokerages reacted to Infosys Q3 numbers?   
12.13 pm , 10-01-2014,Moneycontrol.com,Trading Infosys post Q3 results? Analysts tell you how  
11.50 am , 10-01-2014,CNBC-TV18,"Sell Infosys, says Ankur Rudra  "
11.22 am , 10-01-2014,CNBC-TV18,Support for Infosys at Rs 3300: Chandan Taparia  
10.17 am , 23-01-2014,CNBC-TV18,Here's why these top 10 stocks should be on your radar  
12.12 pm , 22-01-2014,CNBC-TV18,Infosys may test Rs 4900: Regan F Homavazir  
10.20 am , 22-01-2014,CNBC-TV18,India story to strengthen post polls: Infy's Gopalakrishnan  
6.02 pm , 21-01-2014,CNBC-TV18,"See higher levels in Infosys, says Neeraj Deewan  "
12.50 pm , 21-01-2014,Moneycontrol.com,"Buy Infosys; hold TCS, recommends Ventura  "
12.11 pm , 21-01-2014,Moneycontrol.com,Hold Infosys  target of Rs 3885: Sushil Finance 
11.08 am , 21-01-2014,CNBC-TV18,"Short Infosys, target of Rs 3620: Siddharth Bhamre  "
6.11 pm , 20-01-2014,CNBC-TV18,"Prefer Infosys, says Sudarshan Sukhani  "
2.58 pm , 20-01-2014,PTI,WEF meet sees high-profile exits even before start  
11.24 am , 19-01-2014,PTI,"LIC cuts stake in Infy; sells shares worth Rs 2,600cr  "
1.20 pm , 17-01-2014,CNBC-TV18,"TCS, Infy both may deliver 20-25% return for CY14: IDFC Sec  "
12.46 pm , 17-01-2014,CNBC-TV18,"Prefer Infosys, HCL Tech over TCS, Wipro: Patnaik  "
7.47 pm , 16-01-2014,CNBC-TV18,"TCS Q3 review: Experts divided on margins, rev performance  "
5.59 pm , 16-01-2014,CNBC-TV18,"Prefer Infosys, TCS, Tech Mahindra: Rakesh Tarway  "
2.49 pm , 16-01-2014,Moneycontrol.com,Buy Infosys  target of Rs 4000: Firstcall Research 
2.16 pm , 16-01-2014,CNBC-TV18,"Buy Infosys, HCL Tech: Sudarshan Sukhani  "
5.48 pm , 15-01-2014,Moneycontrol.com,Buy Infosys  target of Rs 4050: Way2Wealth 
3.14 pm , 15-01-2014,CNBC-TV18,"Dipen Shah positive on Infosys, TCS, Wipro, HCL Tech  "
11.56 am , 15-01-2014,CNBC-TV18,"Prefer HDFC Bank, ONGC, Bharti Airtel, Infosys: Rajgarhia  "
5.38 pm , 13-01-2014,CNBC-TV18,Kunal Bothra bullish on Infosys  
6.35 pm , 14-02-2014,Moneycontrol.com,Infosys strikes cautious note on discretionary spends  
3.35 pm , 13-02-2014,Moneycontrol.com,Royal Philips extends partnership with Infosys BPO by five years  
1.32 pm , 12-02-2014,PTI,India helps LinkedIn cross 50 mn userbase in Asia Pacific  
4.43 pm , 10-02-2014,CNBC-TV18,"Infosys top pick, says Dhananjay Sinha  "
10.04 am , 07-02-2014,PTI,Infosys to set up delivery centre in Brazil  
3.35 pm , 06-02-2014,CNBC-TV18,Kejriwal must be reasonable with business: Narayana Murthy  
12.06 pm , 06-02-2014,CNBC-TV18,"Prefer pharma, IT services space: Bhuvnesh Singh  "
8.57 am , 05-02-2014,CNBC-TV18,"Avoid IT stocks, says Sukhani  "
2.17 pm , 04-02-2014,CNBC-TV18,"Avoid IT space, says Sudarshan Sukhani  "
12.34 pm , 03-02-2014,Forbes India,TCS vs Infosys: How the IT big guns will fare  
11.23 am , 03-02-2014,CNBC-TV18,"Prefer Infosys, Wipro, Tech Mahindra: Ajay Bodke  "
11.33 am , 30-01-2014,CNBC-TV18,"Buy Infosys, may touch Rs 4300-4400: Ambareesh Baliga  "
10.03 am , 29-01-2014,CNBC-TV18,Why you should focus on these 10 stocks today  
8.30 am , 29-01-2014,CNBC-TV18,6 stocks that should do well today   
3.39 pm , 28-01-2014,CNBC-TV18,"Prefer Infosys, Reliance Industries: Nilesh Shah  "
9.58 am , 28-01-2014,CNBC-TV18,Why these 10 stocks should be on your radar today  
4.37 pm , 27-01-2014,PTI,New technologies to transform banking biz in 2014: Infosys  
1.45 pm , 27-01-2014,CNBC-TV18,"Invest in Infosys, Wipro, HCL Tech: Krishna Kumar Karwa  "
3.11 pm , 24-01-2014,CNBC-TV18,Tirthankar Patnaik overweight on IT space  
1.02 pm , 24-01-2014,CNBC-TV18,"Prefer HCL Tech, Infosys: Deven Choksey  "
11.26 am , 06-03-2014,CNBC-TV18,Hold Infosys  may touch Rs 4300-4400: Ambareesh Baliga 
10.16 am , 04-03-2014,CNBC-TV18,"Top 10 stocks: Keep an eye on ICICI Bank, Infosys, DRL  "
3.25 pm , 03-03-2014,CNBC-TV18,"Avoid Infosys, says Sudarshan Sukhani  "
12.58 pm , 01-03-2014,CNBC-TV18,"Prefer Infosys, says Vibhav Kapoor  "
12.39 pm , 28-02-2014,Moneycontrol.com,Buy Infosys  target of Rs 4550: P Lilladher 
7.30 pm , 27-02-2014,PTI,Infosys to dole out promotions every quarter  
5.21 pm , 26-02-2014,CNBC-TV18,Dhananjay Sinha positive on IT sector  
5.19 pm , 26-02-2014,CNBC-TV18,"SP Tulsian negative on metals, PSU banks  "
12.26 pm , 26-02-2014,CNBC-TV18,"Prefer TCS, Infosys: Sudarshan Sukhani  "
6.09 pm , 24-02-2014,PTI,Infosys to set up SEZ in Indore with Rs 400 cr investment  
9.46 am , 24-02-2014,CNBC-TV18,Infosys may touch Rs 3800: Sudarshan Sukhani  
8.33 am , 24-02-2014,Moneycontrol.com,Infosys commences work on its third campus in Maharashtra  
8.49 am , 21-02-2014,Moneycontrol.com,Infosys Finacle & United Bank of India clarify on media report  
11.13 am , 20-02-2014,CNBC-TV18,"Buy TCS, advises Chandan Taparia  "
11.00 am , 20-02-2014,Moneycontrol.com,"UBI blames Finacle for NPA trouble, Infosys disputes claim  "
10.46 am , 20-02-2014,CNBC-TV18,Vikas Khemani positive on Infosys  
8.59 pm , 19-02-2014,PTI,Non-performers in Infosys may have to leave: NRN Murthy  
4.45 pm , 19-02-2014,CNBC-TV18,"Prefer TCS, Infosys, Tech Mahindra: Sudarshan Sukhani  "
11.20 am , 19-02-2014,CNBC-TV18,Infosys may test Rs 4550: Ajay Bodke  
11.37 am , 18-02-2014,CNBC-TV18,"Prefer IT, pharma stocks: Nirmal Jain  "
4.31 pm , 18-03-2014,CNBC-TV18,"Stay away from Infosys, says Neeraj Deewan  "
4.28 pm , 18-03-2014,CNBC-TV18,"Infosys may touch Rs 3440, says SP Tulsian  "
11.25 am , 18-03-2014,CNBC-TV18,SP Tulsian positive on Infosys  
11.08 am , 18-03-2014,CNBC-TV18,"Prefer TCS, Infosys, HCL Tech on dips: Parag Thakkar  "
10.12 am , 18-03-2014,Moneycontrol.com,District of Columbia extends agreement with Infosys  
9.59 am , 18-03-2014,Moneycontrol.com,Infosys signs multi-year application development services agreement with Volvo Car Corporation  
9.22 am , 18-03-2014,CNBC-TV18,Checkout how these top 10 stocks are fairing today  
4.17 pm , 14-03-2014,CNBC-TV18,Infosys may touch Rs 3700-3800: Dilip Bhat  
1.11 pm , 14-03-2014,CNBC-TV18,Buy Infosys at around Rs 3200: Pritesh Mehta  
11.28 am , 14-03-2014,CNBC-TV18,Buy Infosys at around Rs 3100-3200: Deven Choksey  
9.20 am , 14-03-2014,CNBC-TV18,Here are top 10 stocks that should be on your radar   
4.27 pm , 13-03-2014,CNBC-TV18,"Not much downside risk from Rs 3,400/sh on Infosys: Quant  "
1.56 pm , 13-03-2014,CNBC-TV18,Infosys growth concerns not an industry-wide issue: Zensar  
11.15 am , 13-03-2014,CNBC-TV18,"Pick Wipro, avoid Infosys: Chandan Taparia  "
10.05 am , 13-03-2014,Moneycontrol.com,Brokerages slash Infosys target price post Murthy shocker  
9.05 am , 13-03-2014,CNBC-TV18,"Top ten stocks: Keep an eye on HDFC, ITC, Infosys, Mphasis  "
9.04 pm , 12-03-2014,CNBC-TV18,See FY14 revenue growth at lower end of guidance: Infosys  
11.50 am , 12-03-2014,Moneycontrol.com,Mauritius Post & Cooperative Bank upgrades its core banking solution to Finacle  
12.15 pm , 11-03-2014,CNBC-TV18,"Prefer TCS, Infosys, HCL Tech: Manishi Raychaudhuri  "
10.26 am , 10-03-2014,CNBC-TV18,"Infosys may retest Rs 3640, says Hemant Thukral  "
10.33 am , 26-03-2014,Moneycontrol.com,"Infosys' FY14 results on April 15, 2014  "
1.39 pm , 25-03-2014,CNBC-TV18,Gautam Chhaochharia overweight on IT services space  
8.31 am , 25-03-2014,CNBC-TV18,Super Six trading stocks for short term gain  
5.08 pm , 24-03-2014,CNBC-TV18,Sanjay Dutt underweight on IT sector  
4.44 pm , 24-03-2014,CNBC-TV18,"Accumulate Infosys, says Sukhani  "
4.37 pm , 24-03-2014,CNBC-TV18,"Buy Infosys, advises Ambareesh Baliga  "
10.36 am , 24-03-2014,CNBC-TV18,Check out: Top 10 stocks for the day  
1.59 pm , 21-03-2014,CNBC-TV18,Equirus Sec pegs Infosys target at Rs 3100/sh   
12.42 pm , 21-03-2014,Moneycontrol.com,Market takes latest Infosys exit in stride  
12.07 pm , 21-03-2014,CNBC-TV18,Infosys may go lower till Rs 3200: Pritesh Mehta  
9.40 am , 21-03-2014,CNBC-TV18,Kakal exit on expected lines  buy Infy on every dip: Quant 
9.05 am , 21-03-2014,Moneycontrol.com,Infosys' senior vice president Chandra Shekar Kakal resigns  
9.00 am , 21-03-2014,CNBC-TV18,"Top 10 stocks: Keep a eye on Infosys, Axis Bank,RIL  "
6.37 pm , 20-03-2014,CNBC-TV18,"Kakal quits Infy, co sees 9th high-profile exit  "
3.31 pm , 20-03-2014,CNBC-TV18,"Buy Infosys 3350 call, sell 3450 call: Bhavin Desai  "
12.55 pm , 20-03-2014,CNBC-TV18,Persistent launches products-focused business unit  
11.58 am , 20-03-2014,CNBC-TV18,Growth pangs? How to trade Infosys post its big correction  
11.55 am , 20-03-2014,CNBC-TV18,"Buy Infosys, says Kawaljeet Saluja  "
8.43 am , 19-03-2014,Moneycontrol.com,Infosys signs five year deal with Lansforsakringar AB  
9.25 pm , 18-03-2014,CNBC-TV18,"TCS follows Infosys; lowers Q4 margins, revenue estimates  "
5.13 pm , 10-04-2014,CNBC-TV18,Infosys may slip to Rs 3050: Abhijit Paul  
3.33 pm , 10-04-2014,CNBC-TV18,"Wipro, Tech Mah, HCL Q4 to see 3% $ revenue growth: Nomura  "
4.11 pm , 09-04-2014,Moneycontrol.com,Infosys Finacle achieves new global benchmarks for processing banking transactions  
1.50 pm , 09-04-2014,CNBC-TV18,Infosys may move to Rs 4900: Regan Homavazir  
