'2009-05-30',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-05-31',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-06-01',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-06-02',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-06-03', 'Microsoft sees strong Indian interest for Azure platform  ',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-06-04',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-06-05', 'Reduce Infosys Tech, target of Rs 1400: IIFL  ',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-06-06',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-06-07',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-06-08',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-06-09', 'Bose bets on Infosys, TCS  ',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-06-10', 'Infosys BPO looks for rural partners  ', 'Upside left in Infosys: M Thacker  ',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-06-11',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-06-12', 'BFSI, high tech telecom to recover first: Infosys  ',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-06-13',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-06-14',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-06-15',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-06-16', 'Infosys eyes buys in Mexico, Brazil to improve operations  ',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-06-17',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-06-18', 'Infosys files F3 with SEC  co says not looking at ADR sale ',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-06-19',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-06-20', 'Hold Infosys, target of Rs 1640: Emkay Global  ',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-06-21',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-06-22',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-06-23',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-06-24', 'New slum development scheme to cover 74 cities  ',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-06-25', 'Buy Infosys, target of Rs 1950: PINC Research  ',"Nilekani quits Infosys, to head govt's national ID project  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-06-26',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-06-27',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-06-28',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-06-29',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-06-30',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-07-01',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-07-02',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-07-03', 'Infosys Jun qtr PAT seen at Rs 1383 cr: KRChoksey   ',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-07-04',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-07-05',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-07-06',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-07-07',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-07-08', 'Infosys Jun qtr PAT seen down at Rs 1352 cr: Angel  ', 'Infosys Jun qtr PAT seen at Rs 1,434 cr: Sharekhan  ', 'Infosys Jun qtr PAT seen up by 12.5% at Rs 1464 cr  ',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-07-09', 'Infosys Q1 revenues seen down 5% to Rs Rs 5344 cr  ', 'Infosys Q1 PAT seen down 13.3% to Rs 1399.2 cr   ', 'Infosys Q1 PAT seen at Rs 1355.8 cr: Motilal Oswal  ', 'Infosys Q1 PAT seen at Rs 1405 Cr: Religare  ',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
