"date","weighted","close","high","low","open","volume"
"2014-08-19","485.12","485.12","487.05","455.8","462.18","2458098.82"
"2014-08-20","516.78","516.78","521.84","468.51","485.12","2965577.49"
"2014-08-21","517.94","517.94","537.17","511.36","516.78","2974478.96"
"2014-08-22","516.1","516.1","524.44","500.57","517.94","3116862.95"
"2014-08-23","497.68","497.68","516.82","493.98","516.1","1596652.49"
"2014-08-24","509.71","509.71","514.82","496.81","497.68","1294320.61"
"2014-08-25","502.93","502.93","511.33","499.71","509.71","1409621.07"
"2014-08-26","512.56","512.56","516.04","501.81","502.93","1831000.54"
"2014-08-27","515.23","515.23","527.37","512.66","512.56","1982424.62"
"2014-08-28","510.75","510.75","521.59","503.34","515.23","2307082.42"
"2014-08-29","512.56","512.56","515.18","506.69","510.75","1876846.6"
"2014-08-30","505.96","505.96","512.91","503.12","512.56","1337420.67"
"2014-08-31","481.78","481.78","508.34","478.31","505.96","2982601.77"
"2014-09-01","477.19","477.19","487.47","471.78","481.78","3261178.74"
"2014-09-02","478.94","478.94","486.99","470.54","477.19","3291738.72"
"2014-09-03","480.04","480.04","487.29","476.82","478.94","3018772.64"
"2014-09-04","490.99","490.99","498.47","476.26","480.04","4345165.83"
"2014-09-05","483.65","483.65","495.02","483.07","490.99","3013185.15"
"2014-09-06","484.47","484.47","491.38","480.79","483.65","1883095.02"
"2014-09-07","485.75","485.75","490.72","478.49","484.47","1755360.28"
"2014-09-08","475.69","475.69","487.02","469.5","485.75","3948928.43"
"2014-09-09","474.9","474.9","478.6","467.52","475.69","3529051.35"
"2014-09-10","479.7","479.7","491.04","471.57","474.9","4058785.18"
"2014-09-11","478.49","478.49","488.92","474.57","479.7","3086920.26"
"2014-09-12","477.73","477.73","479.71","471.14","478.49","2514548.2"
"2014-09-13","478.17","478.17","480.64","474.64","477.73","2569793"
"2014-09-14","477.74","477.74","480.33","471.96","478.17","2031789.95"
"2014-09-15","477.71","477.71","479.28","473.7","477.74","2753462.23"
"2014-09-16","466.75","466.75","478.81","463.95","477.71","3139554.53"
"2014-09-17","461.09","461.09","469.39","458.27","466.75","3522262.8"
"2014-09-18","424.26","424.26","462.26","408.77","461.09","3946908.07"
"2014-09-19","397.67","397.67","429.17","386.1","424.26","6062707.6"
"2014-09-20","411.53","411.53","427.69","387.5","397.67","5919676.64"
"2014-09-21","401.62","401.62","415.07","394.52","411.53","4229727.1"
"2014-09-22","404.09","404.09","410.75","398.6","401.62","5531782.04"
"2014-09-23","436.86","436.86","445.51","394.75","404.09","7490861.6"
"2014-09-24","423.77","423.77","439.19","422.1","436.86","9217984.23"
"2014-09-25","412.29","412.29","427.55","409.56","423.77","6143388.92"
"2014-09-26","404.46","404.46","416.42","399.7","412.29","4966479.77"
"2014-09-27","399.02","399.02","407.07","394.69","404.46","3950428.02"
"2014-09-28","379.08","379.08","402.27","374.12","399.02","5453338.71"
"2014-09-29","376.77","376.77","389.26","372.63","379.08","7924759.6"
"2014-09-30","388.17","388.17","395.18","374.73","376.77","6520432.39"
"2014-10-01","382.84","382.84","395.13","381.11","388.17","6892843.77"
"2014-10-02","375.14","375.14","385.59","371.2","382.84","5471103.72"
